mitogenome_id;group;species;taxonomy;geo_loc_name
MZ981768.1;reference;Apis mellifera siciliana;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Apoidea","Anthophila","Apidae","Apis"];None
PQ873042.1;control;Scymnus dongjiuensis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Aparaglossata","Neuropteroidea","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Scymninae","Scymnini,"Scymnus"];None
NC_039576.1;all_insects;Anoplolepis gracilipes;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Formicinae","Anoplolepis"];Taiwan: Hsinchu City
NC_046420.1;all_insects;Acropyga goeldii;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Formicinae","Acropyga"];None
NC_068239.1;all_insects;Eupelmus anpingensis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Chalcidoidea","Eupelmidae","Eupelminae","Eupelmus"];China
NC_051458.1;all_insects;Encyrtus sasakii;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Chalcidoidea","Encyrtidae","Encyrtinae","Encyrtus"];China
NC_066200.1;all_insects;Trichomalopsis sarcophagae;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Chalcidoidea","Pteromalidae","Pteromalinae","Trichomalopsis"];None
NC_077570.1;all_insects;Melecta chinensis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Aculeata","Apoidea","Anthophila","Apidae","Melecta"];South Korea
NC_062620.1;all_insects;Virgulibracon endoxylaphagus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Ichneumonoidea","Braconidae,"Braconinae","Virgulibracon"];Australia
NC_068815.1;all_insects;Andricus mairei;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Altocrustacea","Allotriocarida","Hexapoda","Insecta","Pterygota","Neoptera","Eumetabola","Endopterygota","Hymenoptera","Apocrita","Proctotrupomorpha","Cynipoidea","Cynipidae","Cynipinae","Cynipini","Andricus"];None
