mitogenome_id;group;species;taxonomy
NC_033971.1;reference;Agelena silvatica;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Agelenidae","Agelena"]
NC_053569.1;Outgroup;Scorpiops tibetanus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Scorpiones","Iurida","Chactoidea","Euscorpiidae","Scorpiopinae","Scorpiopini","Scorpiops"]
NC_010782.1;Outgroup;Uroctonus mordax;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Scorpiones","Iurida","Chactoidea","Chactidae","Uroctoninae","Uroctonus"]
NC_035567.1;Outgroup;Vaejovis smithi;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Scorpiones","Iurida","Chactoidea","Vaejovidae","Vaejovis"]
OP271740.1;this_study;Loxosceles laeta;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Haplogynae","Scytodoidea","Sicariidae","Loxosceles"]
OP271741.1;this_study;Phoneutria sp.;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Lycosoidea","Ctenidae","Phoneutria"]
NC_032402.1;other_spiders;Araneus angulatus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae","Araneus"]
NC_044695.1;other_spiders;Argiope perforata;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae","Argiope"]
NC_059873.1;other_spiders;Atypus karschi;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Mygalomorphae","Atypoidea","Atypidae","Atypus"]
NC_027492.1;other_spiders;Carrhotus xanthogramma;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Dionycha","Salticidae","Salticinae","Salticoida","Salticini","Carrhotus"]
NC_041120.1;other_spiders;Cheliceroides longipalpis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Dionycha","Salticidae","Salticinae","Salticoida","Hasariini","Cheliceroides"]
NC_044696.1;other_spiders;Cyclosa japonica;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae","Cyclosa"]
NC_053738.1;other_spiders;Cyriopagopus hainanus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Mygalomorphae","Avicularoidea","Theraphosidae","Cyriopagopus"]
NC_028077.1;other_spiders;Cyrtarachne nagasakiensis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae","Cyrtarachne"]
NC_060386.1;other_spiders;Desis jiaxiangi;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Dictynoidea","Desidae","Desis"]
NC_031355.1;other_spiders;Dolomedes angustivirgatus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Lycosoidea","Dolomedidae","Dolomedes"]
NC_042829.1;other_spiders;Epeus alboguttatus;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Dionycha","Salticidae","Salticinae","Salticoida","Plexippini","Epeus"]
NC_044081.1;other_spiders;Harpactocrates apennicola;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Haplogynae","Dysderoidea","Dysderidae","Harpactocrates"]
NC_028078.1;other_spiders;Hypsosinga pygmaea;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae","Hypsosinga"]
NC_020323.1;other_spiders;Liphistius erawan;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Mesothelae","Liphistiidae","Liphistius"]
NC_042902.1;other_spiders;Loxosceles similis;["Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Haplogynae","Scytodoidea","Sicariidae","Loxosceles"]
