id,name,is_tip,is_root,depth,parent_id,branch_length,support,n_children,n_descendants,n_desc_tips,label,meta_taxonomy,meta_geo,meta_inferred_taxonomy,meta_group,meta_species,meta_mitogenome_id
bbe90126-da41-496f-a57d-6a90ad4c8575,,False,True,0,,,,2,73,37,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota']",,,
39e9e438-8a35-4fec-be38-66aaeb128e4d,,False,False,1,bbe90126-da41-496f-a57d-6a90ad4c8575,0.0345394522,"{'bootstrap': 67.8, 'alrt': 85.0}",2,71,36,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera']",,,
e7df38b4-e9c2-4124-beb7-fb1ff9dde74d,,False,False,2,39e9e438-8a35-4fec-be38-66aaeb128e4d,0.1527812749,"{'bootstrap': 100.0, 'alrt': 100.0}",2,63,32,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita']",,,
90be220f-fe56-41d8-b3c5-b6c6f5c84c8e,,False,False,3,e7df38b4-e9c2-4124-beb7-fb1ff9dde74d,0.0449144635,"{'bootstrap': 100.0, 'alrt': 100.0}",2,33,17,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata']",,,
9836458f-c96d-4bd1-a2b6-683930746b68,,False,False,4,90be220f-fe56-41d8-b3c5-b6c6f5c84c8e,0.0335764383,"{'bootstrap': 98.0, 'alrt': 98.0}",2,11,6,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata']",,,
eda8e2c3-244b-454e-a732-5b05ad903c32,,False,False,5,9836458f-c96d-4bd1-a2b6-683930746b68,0.1088182023,"{'bootstrap': 100.0, 'alrt': 100.0}",2,6,4,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Apoidea', 'Anthophila']",,,
464e7930-0a98-4090-ad9d-61cdc9541f82,,False,False,6,eda8e2c3-244b-454e-a732-5b05ad903c32,0.0808625617,"{'bootstrap': 100.0, 'alrt': 100.0}",2,4,3,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Apoidea', 'Anthophila', 'Apidae']",,,
e07cd1ec-bf82-4d03-8be4-10a280f2d5f2,,False,False,7,464e7930-0a98-4090-ad9d-61cdc9541f82,0.1029607321,"{'bootstrap': 100.0, 'alrt': 100.0}",2,2,2,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Apoidea', 'Anthophila', 'Apidae']",,,
f47b5ea9-1391-482b-8426-f3402f99addd,Apis mellifera siciliana MZ981768.1,True,False,8,e07cd1ec-bf82-4d03-8be4-10a280f2d5f2,0.2392454202,,0,0,0,Apis mellifera siciliana MZ981768.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Apoidea', 'Anthophila', 'Apidae', 'Apis']",,,reference,Apis mellifera siciliana,MZ981768.1
98834b5d-3a16-4966-8755-89bedbf3ec66,Ceratina okinawana NC_057193.1,True,False,8,e07cd1ec-bf82-4d03-8be4-10a280f2d5f2,0.2016716968,,0,0,0,Ceratina okinawana NC_057193.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Apoidea', 'Anthophila', 'Apidae', 'Ceratina', 'Ceratinidia']",China,,all_insects,Ceratina okinawana,NC_057193.1
